,Name,Right arm Fast,Right arm Medium,Left arm Fast,Left arm Medium,Right arm off-spinner,Right arm Legbreak,Left arm Orthodox,Left arm Chinaman,Playing Style Score
117,F Behardien,"[475, 461, 13]","[24, 20, 1]","[147, 127, 5]","[14, 12, 1]","[114, 172, 6]","[113, 142, 3]","[35, 49, 1]","[0, 0, 0]",41.64859002169197
118,F du Plessis,"[1810, 2011, 53]","[253, 270, 5]","[737, 771, 14]","[32, 29, 1]","[809, 1016, 14]","[396, 433, 7]","[484, 649, 5]","[24, 33, 0]",43.43234323432343
119,FA Allen,"[105, 88, 6]","[0, 0, 0]","[31, 30, 1]","[0, 0, 0]","[1, 4, 1]","[11, 17, 1]","[16, 24, 2]","[3, 4, 2]",57.48502994011976
120,Faisal Iqbal,"[34, 65, 4]","[14, 31, 0]","[6, 12, 0]","[0, 0, 0]","[4, 20, 1]","[7, 22, 0]","[9, 15, 0]","[8, 11, 0]",34.146341463414636
121,Fakhar Zaman,"[1117, 1286, 24]","[218, 225, 5]","[183, 173, 4]","[0, 0, 0]","[134, 138, 6]","[197, 232, 6]","[265, 258, 2]","[74, 48, 2]",57.678244972577694
122,Fayyaz Ahmed,"[22, 56, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9, 12, 0]","[6, 11, 0]","[0, 0, 0]",54.054054054054056
123,FDM Karunaratne,"[308, 468, 17]","[14, 18, 1]","[118, 152, 2]","[0, 0, 0]","[119, 156, 5]","[0, 0, 0]","[56, 73, 1]","[0, 0, 0]",38.3739837398374
124,FH Allen,"[250, 271, 10]","[35, 52, 0]","[51, 44, 1]","[0, 0, 0]","[32, 36, 0]","[25, 29, 0]","[32, 42, 2]","[5, 4, 0]",67.90697674418604
125,FRJ Coleman,"[84, 110, 5]","[11, 6, 0]","[0, 8, 1]","[0, 0, 0]","[12, 19, 0]","[19, 26, 0]","[0, 0, 0]","[0, 0, 0]",42.857142857142854
126,FY Fazal,"[28, 33, 0]","[17, 20, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[10, 12, 0]","[0, 0, 0]","[0, 0, 0]",61.81818181818181
127,G Chapple,"[0, 0, 0]","[2, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
128,G Gambhir,"[1981, 2386, 54]","[114, 113, 5]","[305, 390, 12]","[14, 10, 0]","[431, 500, 11]","[61, 83, 1]","[346, 390, 2]","[0, 0, 0]",46.678966789667896
129,G Malla,"[88, 176, 5]","[15, 32, 1]","[9, 20, 0]","[34, 46, 1]","[56, 68, 1]","[12, 15, 1]","[52, 72, 3]","[0, 0, 0]",47.368421052631575
130,GA Manou,"[5, 4, 0]","[0, 0, 0]","[2, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
131,GC Smith,"[1950, 2375, 43]","[411, 446, 9]","[344, 490, 12]","[49, 76, 2]","[359, 484, 21]","[103, 147, 1]","[243, 355, 4]","[0, 0, 0]",49.32061289389998
132,GC Wilson,"[356, 527, 21]","[122, 163, 5]","[19, 46, 3]","[5, 11, 0]","[262, 356, 7]","[180, 314, 11]","[205, 275, 6]","[0, 0, 0]",35.33507397737163
133,GD Drummond,"[19, 17, 1]","[0, 0, 0]","[29, 13, 0]","[0, 0, 0]","[18, 18, 0]","[1, 4, 0]","[0, 0, 0]","[0, 0, 0]",53.73134328358209
134,GD Phillips,"[96, 122, 3]","[25, 22, 1]","[39, 32, 2]","[0, 0, 0]","[46, 60, 3]","[40, 36, 0]","[22, 30, 2]","[15, 22, 0]",54.416961130742045
135,GF Linde,"[9, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[12, 19, 0]","[6, 6, 1]","[0, 0, 0]","[0, 0, 0]",44.44444444444444
136,GH Worker,"[170, 216, 3]","[0, 0, 0]","[26, 44, 3]","[0, 0, 0]","[25, 43, 2]","[10, 11, 0]","[13, 26, 0]","[0, 0, 0]",41.80327868852459
137,Ghulam Shabber,"[243, 391, 8]","[40, 45, 1]","[0, 3, 0]","[0, 0, 0]","[47, 99, 5]","[26, 32, 2]","[23, 31, 2]","[0, 0, 0]",40.105540897097626
138,GJ Bailey,"[1224, 1446, 37]","[116, 135, 5]","[118, 126, 2]","[0, 0, 0]","[413, 551, 10]","[232, 319, 4]","[348, 464, 7]","[0, 0, 0]",41.615667074663406
139,GJ Delany,"[54, 63, 2]","[9, 11, 0]","[31, 53, 4]","[0, 0, 0]","[22, 24, 0]","[7, 8, 1]","[15, 11, 2]","[0, 0, 0]",50.72463768115942
140,GJ Hopkins,"[34, 57, 6]","[4, 8, 0]","[69, 68, 2]","[0, 0, 0]","[43, 55, 3]","[0, 0, 0]","[7, 9, 0]","[0, 0, 0]",33.12101910828025
141,GJ Maxwell,"[1270, 1085, 46]","[42, 50, 4]","[361, 291, 14]","[0, 0, 0]","[478, 387, 14]","[397, 319, 8]","[380, 314, 6]","[95, 69, 3]",59.67581872312273
142,GM Strydom,"[21, 48, 2]","[1, 3, 0]","[0, 0, 0]","[0, 0, 0]","[11, 15, 0]","[0, 0, 0]","[3, 21, 1]","[21, 21, 0]",56.14035087719298
143,GS Ballance,"[119, 199, 9]","[0, 0, 0]","[31, 43, 1]","[0, 0, 0]","[35, 59, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",32.432432432432435
144,GSNFG Jayasuriya,"[38, 48, 4]","[5, 9, 0]","[35, 45, 1]","[0, 0, 0]","[35, 70, 2]","[44, 45, 1]","[30, 43, 0]","[4, 6, 0]",33.50785340314136
145,Gurkeerat Singh,"[4, 5, 0]","[0, 0, 0]","[5, 3, 1]","[0, 0, 0]","[4, 5, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",61.53846153846154
146,H Davids,"[3, 11, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 8, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
147,H Klaasen,"[329, 392, 8]","[2, 6, 2]","[98, 97, 3]","[0, 0, 0]","[83, 62, 4]","[208, 204, 4]","[79, 68, 3]","[77, 62, 2]",49.08675799086758
148,H Masakadza,"[1587, 2352, 63]","[202, 237, 5]","[360, 560, 15]","[0, 0, 0]","[530, 701, 16]","[392, 414, 13]","[561, 800, 18]","[2, 2, 0]",52.00880572372042
149,Habibul Bashar,"[140, 303, 11]","[74, 84, 4]","[19, 36, 1]","[0, 0, 0]","[143, 269, 1]","[23, 42, 1]","[48, 94, 3]","[0, 0, 0]",38.92617449664429
150,Haider Ali,"[1, 4, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[17, 11, 0]","[0, 0, 0]",55.55555555555556
151,Hammad Azam,"[34, 54, 0]","[1, 4, 0]","[0, 0, 0]","[0, 0, 0]","[10, 15, 0]","[4, 8, 1]","[5, 16, 1]","[0, 0, 0]",44.44444444444444
152,Hannan Sarkar,"[101, 196, 5]","[12, 25, 0]","[9, 12, 1]","[0, 0, 0]","[5, 9, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",42.51968503937008
153,Haris Sohail,"[601, 711, 15]","[152, 141, 0]","[106, 110, 4]","[0, 0, 0]","[271, 393, 5]","[150, 177, 1]","[209, 260, 3]","[0, 0, 0]",42.04163868368032
154,Hashmatullah Shahidi,"[462, 729, 17]","[88, 171, 4]","[83, 111, 2]","[0, 0, 0]","[415, 633, 9]","[79, 118, 3]","[152, 231, 4]","[14, 24, 1]",38.669760247486465
155,Hazratullah,"[222, 215, 10]","[0, 1, 1]","[22, 45, 1]","[0, 0, 0]","[80, 123, 3]","[0, 0, 0]","[18, 6, 0]","[0, 0, 0]",69.5906432748538
156,HC Brook,"[7, 13, 2]","[0, 0, 0]","[12, 15, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[19, 13, 0]","[0, 0, 0]",68.42105263157895
157,HD Rutherford,"[14, 53, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 3, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",53.333333333333336
158,HDRL Thirimanne,"[1187, 1609, 35]","[51, 94, 2]","[311, 436, 13]","[3, 13, 0]","[546, 838, 17]","[231, 304, 4]","[244, 306, 6]","[46, 56, 1]",37.6479572355861
159,HE van der Dussen,"[456, 477, 9]","[27, 34, 1]","[238, 305, 4]","[0, 0, 0]","[394, 420, 4]","[272, 303, 6]","[134, 168, 0]","[7, 7, 0]",38.7434554973822
160,HH Dippenaar,"[425, 639, 7]","[50, 102, 2]","[64, 100, 2]","[0, 0, 0]","[133, 187, 4]","[20, 36, 0]","[32, 52, 1]","[0, 0, 0]",32.87292817679558
161,HH Gibbs,"[1237, 1416, 46]","[254, 337, 1]","[193, 242, 3]","[8, 12, 0]","[253, 286, 4]","[86, 100, 3]","[210, 265, 6]","[0, 0, 0]",57.47434181169121
162,HH Pandya,"[657, 647, 23]","[129, 125, 3]","[142, 135, 7]","[0, 0, 0]","[145, 103, 2]","[220, 161, 3]","[116, 114, 5]","[0, 0, 0]",52.94535131298793
163,HJH Marshall,"[173, 247, 9]","[50, 87, 2]","[15, 34, 1]","[0, 0, 0]","[45, 58, 1]","[29, 26, 0]","[78, 84, 0]","[0, 0, 0]",33.84615384615385
164,HM Amla,"[2989, 3565, 68]","[471, 468, 7]","[788, 937, 13]","[0, 0, 0]","[860, 956, 21]","[484, 540, 6]","[472, 597, 11]","[20, 28, 1]",44.74030243261012
165,HM Nicholls,"[727, 877, 25]","[43, 47, 1]","[144, 192, 6]","[0, 0, 0]","[205, 243, 5]","[156, 209, 4]","[86, 128, 1]","[37, 45, 3]",43.204577968526465
166,HP Rinke,"[23, 50, 5]","[1, 3, 0]","[0, 2, 1]","[0, 0, 0]","[3, 2, 0]","[0, 0, 0]","[1, 7, 1]","[0, 0, 0]",42.857142857142854
167,Hussain Talat,"[0, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 4, 1]",0.0
168,HWR Cartwright,"[2, 23, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
169,I Kaia,"[112, 171, 3]","[23, 45, 3]","[85, 146, 3]","[0, 0, 0]","[103, 135, 4]","[14, 19, 0]","[2, 7, 1]","[0, 0, 0]",43.657817109144545
170,Ibrahim Zadran,"[214, 274, 4]","[8, 9, 0]","[3, 11, 1]","[0, 0, 0]","[100, 107, 2]","[42, 38, 0]","[12, 13, 0]","[0, 0, 0]",48.02110817941953
171,ID Blackwell,"[22, 40, 5]","[0, 0, 0]","[5, 3, 1]","[4, 10, 1]","[34, 49, 1]","[7, 13, 1]","[8, 11, 0]","[0, 0, 0]",57.49999999999999
172,Iftikhar Ahmed,"[41, 34, 4]","[1, 1, 0]","[21, 34, 0]","[0, 0, 0]","[13, 25, 1]","[2, 5, 0]","[27, 35, 1]","[0, 0, 0]",49.523809523809526
173,Iftikhar Anjum,"[92, 139, 9]","[31, 16, 1]","[10, 9, 0]","[0, 0, 0]","[20, 48, 3]","[3, 4, 0]","[3, 11, 0]","[0, 0, 0]",36.477987421383645
174,IJL Trott,"[897, 1255, 13]","[75, 92, 2]","[218, 315, 5]","[89, 65, 0]","[319, 459, 7]","[53, 83, 4]","[335, 439, 6]","[0, 0, 0]",34.13897280966767
175,Imam-ul-Haq,"[959, 1259, 17]","[222, 253, 5]","[219, 307, 3]","[0, 0, 0]","[248, 344, 7]","[169, 207, 5]","[166, 199, 6]","[47, 47, 1]",38.22660098522167
176,Imran Farhat,"[548, 883, 21]","[81, 98, 2]","[83, 163, 3]","[3, 13, 0]","[128, 149, 4]","[33, 41, 1]","[73, 96, 3]","[0, 0, 0]",51.84404636459431
177,Imran Nazir,"[294, 332, 12]","[50, 32, 1]","[22, 23, 1]","[0, 0, 0]","[28, 21, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",72.58883248730965
178,Imrul Kayes,"[896, 1263, 24]","[209, 287, 6]","[73, 106, 5]","[11, 17, 0]","[249, 435, 10]","[171, 211, 6]","[131, 216, 6]","[0, 0, 0]",49.08045977011494
179,Inzamam-ul-Haq,"[492, 643, 16]","[118, 159, 4]","[68, 117, 2]","[0, 0, 0]","[267, 299, 6]","[23, 30, 0]","[243, 270, 3]","[0, 0, 0]",47.233691164327
180,IR Bell,"[2196, 2983, 59]","[166, 214, 3]","[498, 608, 9]","[78, 91, 3]","[477, 630, 10]","[203, 220, 4]","[339, 456, 8]","[0, 0, 0]",44.831943391458175
181,Ishan Kishan,"[111, 126, 4]","[53, 34, 1]","[30, 33, 0]","[0, 0, 0]","[123, 81, 0]","[4, 4, 0]","[85, 90, 2]","[1, 1, 0]",68.3046683046683
182,J Blackwood,"[15, 25, 1]","[0, 0, 0]","[2, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",47.05882352941176
183,J Charles,"[515, 623, 16]","[82, 62, 1]","[141, 207, 8]","[0, 0, 0]","[140, 157, 0]","[28, 47, 3]","[52, 59, 3]","[4, 9, 1]",60.4989604989605
184,J Louw,"[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[16, 4, 0]","[0, 0, 0]",100.0
185,J Mubarak,"[195, 277, 6]","[7, 8, 0]","[23, 35, 3]","[7, 8, 0]","[64, 132, 6]","[4, 9, 0]","[95, 110, 0]","[0, 0, 0]",37.9746835443038
186,JA Burns,"[86, 119, 2]","[44, 38, 1]","[1, 15, 2]","[0, 0, 0]","[8, 10, 0]","[7, 7, 1]","[0, 0, 0]","[0, 0, 0]",47.94520547945205
187,JA Morkel,"[200, 189, 6]","[88, 83, 4]","[47, 39, 4]","[0, 0, 0]","[91, 125, 4]","[21, 20, 1]","[33, 47, 0]","[0, 0, 0]",54.58333333333333
188,JA Rudolph,"[189, 286, 3]","[58, 79, 1]","[21, 35, 0]","[0, 0, 0]","[96, 180, 4]","[16, 19, 1]","[33, 39, 0]","[0, 0, 0]",37.28813559322034
189,JA Simpson,"[1, 3, 1]","[0, 0, 0]","[6, 6, 0]","[0, 0, 0]","[0, 0, 0]","[12, 16, 1]","[0, 0, 0]","[0, 0, 0]",42.10526315789473
190,JAH Marshall,"[5, 17, 1]","[0, 0, 0]","[1, 13, 1]","[0, 0, 0]","[3, 12, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
191,Javed Ahmadi,"[339, 522, 17]","[58, 72, 2]","[8, 19, 3]","[10, 16, 0]","[93, 135, 3]","[31, 31, 0]","[71, 117, 2]","[1, 3, 0]",52.700490998363335
192,Javed Omar,"[128, 295, 6]","[0, 0, 0]","[11, 36, 0]","[10, 20, 0]","[37, 50, 0]","[16, 23, 0]","[22, 23, 1]","[0, 0, 0]",51.78571428571429
193,JC Buttler,"[1756, 1498, 53]","[182, 156, 2]","[569, 484, 11]","[1, 1, 0]","[376, 327, 6]","[293, 273, 9]","[364, 379, 7]","[59, 45, 3]",53.0
194,JDS Neesham,"[665, 590, 28]","[63, 63, 1]","[180, 180, 5]","[0, 0, 0]","[188, 240, 8]","[135, 170, 4]","[55, 73, 2]","[7, 17, 0]",50.580046403712295
195,JE Root,"[2460, 2981, 57]","[201, 240, 5]","[509, 623, 15]","[42, 42, 1]","[722, 816, 8]","[509, 551, 8]","[551, 644, 12]","[115, 116, 2]",36.6020747700137
196,JH Kallis,"[1559, 1992, 43]","[290, 368, 4]","[248, 352, 5]","[20, 43, 0]","[507, 700, 4]","[137, 235, 5]","[342, 523, 9]","[0, 0, 0]",40.99258781824041
197,JJ Roy,"[1808, 1867, 43]","[145, 141, 7]","[491, 504, 16]","[0, 0, 0]","[351, 268, 8]","[231, 204, 4]","[357, 355, 9]","[78, 60, 3]",59.34700953481653
198,JJ van der Wath,"[46, 24, 1]","[2, 5, 1]","[0, 0, 0]","[0, 0, 0]","[0, 2, 2]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]",66.66666666666666
199,JL Carter,"[159, 278, 7]","[26, 35, 1]","[61, 77, 4]","[0, 0, 0]","[130, 159, 4]","[90, 107, 3]","[50, 61, 2]","[3, 7, 0]",46.628131021194605
200,JL Denly,"[100, 158, 6]","[18, 13, 0]","[73, 94, 3]","[0, 0, 0]","[23, 34, 0]","[0, 0, 0]","[3, 2, 0]","[46, 50, 0]",50.950570342205324
201,JL Ontong,"[47, 63, 4]","[10, 14, 0]","[18, 26, 0]","[0, 0, 0]","[0, 0, 0]","[0, 5, 0]","[4, 7, 1]","[0, 0, 0]",50.63291139240506
202,JM Bairstow,"[1478, 1532, 34]","[194, 164, 3]","[462, 489, 14]","[0, 0, 0]","[291, 306, 4]","[247, 209, 6]","[390, 414, 8]","[108, 88, 3]",59.05362776025237
203,JM How,"[509, 744, 12]","[24, 24, 0]","[98, 200, 7]","[0, 0, 0]","[70, 112, 2]","[0, 0, 0]","[71, 102, 4]","[0, 0, 0]",49.48186528497409
204,JM Vince,"[259, 301, 9]","[62, 66, 3]","[76, 83, 3]","[0, 0, 0]","[23, 28, 1]","[39, 56, 1]","[50, 58, 0]","[0, 0, 0]",52.652259332023576
205,JN Hamilton,"[1, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 1]","[0, 0, 0]","[1, 2, 0]","[0, 0, 0]",0.0
206,JN Mohammed,"[202, 314, 9]","[15, 23, 1]","[85, 78, 3]","[0, 0, 0]","[124, 207, 4]","[85, 130, 7]","[53, 105, 2]","[36, 57, 1]",42.0
207,JNK Shannon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 2, 1]","[0, 0, 0]","[1, 6, 0]","[0, 0, 0]",0.0
208,JP Bray,"[86, 162, 6]","[47, 50, 1]","[21, 44, 0]","[1, 2, 0]","[11, 29, 0]","[0, 0, 0]","[20, 32, 0]","[0, 0, 0]",51.61290322580645
209,JP Duminy,"[1547, 1814, 46]","[373, 408, 6]","[285, 335, 13]","[0, 0, 0]","[761, 1053, 20]","[320, 372, 8]","[317, 447, 9]","[15, 41, 3]",36.70536207849641
210,JP Inglis,"[7, 8, 0]","[0, 0, 0]","[3, 8, 1]","[0, 0, 0]","[0, 2, 1]","[0, 0, 0]","[5, 8, 0]","[0, 0, 0]",53.333333333333336
211,Junaid Siddique,"[2, 4, 0]","[1, 2, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[14, 11, 0]","[0, 0, 0]",58.82352941176471
212,JWM Dalrymple,"[138, 142, 7]","[10, 18, 1]","[22, 28, 2]","[0, 0, 0]","[83, 138, 3]","[30, 53, 1]","[57, 81, 2]","[0, 0, 0]",32.35294117647059
213,K Bhurtel,"[85, 112, 4]","[10, 11, 1]","[16, 23, 0]","[11, 18, 0]","[24, 29, 1]","[8, 15, 1]","[29, 42, 1]","[0, 0, 0]",42.62295081967213
214,K Zondo,"[56, 92, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, 10, 0]","[51, 73, 4]","[2, 3, 1]","[27, 48, 0]",35.46099290780142
215,KA Hope,"[106, 160, 5]","[0, 0, 0]","[1, 4, 1]","[0, 0, 0]","[0, 0, 0]","[7, 7, 0]","[15, 21, 0]","[0, 2, 0]",58.91472868217055
216,KA Pollard,"[874, 1024, 35]","[38, 35, 2]","[252, 327, 12]","[0, 0, 0]","[367, 460, 16]","[232, 228, 12]","[240, 223, 8]","[31, 23, 0]",53.392330383480825
217,KC Brathwaite,"[77, 165, 3]","[15, 21, 1]","[25, 40, 0]","[0, 0, 0]","[24, 53, 3]","[37, 55, 0]","[60, 99, 0]","[0, 0, 0]",23.52941176470588
218,KD Karthik,"[591, 919, 26]","[120, 168, 1]","[107, 168, 3]","[0, 0, 0]","[240, 279, 8]","[63, 82, 1]","[141, 192, 1]","[0, 0, 0]",44.37400950871632
219,KDK Vithanage,"[20, 16, 0]","[0, 0, 0]","[3, 6, 1]","[0, 0, 0]","[37, 47, 4]","[0, 0, 0]","[9, 18, 0]","[0, 0, 0]",57.971014492753625
220,KED Carroll,"[26, 33, 2]","[0, 0, 0]","[2, 7, 0]","[0, 0, 0]","[0, 2, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",14.285714285714285
221,KH Pandya,"[77, 84, 1]","[2, 2, 0]","[27, 20, 0]","[0, 0, 0]","[1, 4, 0]","[6, 7, 1]","[0, 0, 0]","[0, 0, 0]",42.47787610619469
222,KH Prajapati,"[218, 247, 2]","[17, 31, 3]","[0, 0, 0]","[0, 0, 0]","[23, 50, 1]","[4, 6, 0]","[75, 122, 4]","[0, 0, 0]",43.916913946587535
223,Khalid Latif,"[110, 153, 0]","[13, 26, 1]","[0, 5, 1]","[0, 0, 0]","[8, 6, 0]","[0, 0, 0]","[10, 27, 3]","[0, 0, 0]",36.87943262411347
224,Khurram Khan,"[145, 178, 4]","[29, 35, 0]","[43, 48, 0]","[0, 0, 0]","[91, 121, 2]","[38, 65, 1]","[23, 32, 2]","[0, 0, 0]",43.360433604336045
225,Khurram Manzoor,"[46, 99, 4]","[19, 22, 0]","[0, 0, 0]","[0, 0, 0]","[13, 24, 1]","[0, 0, 0]","[21, 28, 0]","[0, 0, 0]",40.4040404040404
226,Khushdil Shah,"[57, 54, 2]","[31, 14, 0]","[0, 0, 0]","[0, 0, 0]","[14, 24, 0]","[2, 5, 1]","[15, 23, 1]","[0, 0, 0]",57.14285714285714
227,KIC Asalanka,"[199, 244, 9]","[29, 44, 2]","[6, 19, 2]","[0, 0, 0]","[163, 152, 3]","[36, 46, 0]","[95, 110, 0]","[78, 95, 3]",39.273927392739274
228,KJ Coetzer,"[762, 872, 19]","[181, 200, 7]","[16, 38, 1]","[17, 31, 2]","[186, 305, 7]","[156, 184, 5]","[217, 267, 3]","[0, 0, 0]",60.325732899022796
229,KJ O'Brien,"[688, 789, 29]","[173, 191, 4]","[106, 96, 2]","[16, 16, 1]","[408, 479, 12]","[268, 274, 12]","[189, 245, 8]","[0, 0, 0]",52.81385281385281
230,KK Nair,"[19, 30, 1]","[12, 28, 0]","[0, 0, 0]","[0, 0, 0]","[1, 5, 1]","[8, 7, 0]","[0, 0, 0]","[0, 0, 0]",50.0
231,KL Rahul,"[700, 834, 18]","[205, 220, 3]","[180, 240, 3]","[0, 0, 0]","[193, 216, 5]","[204, 233, 4]","[203, 206, 3]","[9, 13, 0]",44.74616292798111
232,KM Dabengwa,"[102, 177, 9]","[0, 0, 0]","[17, 14, 1]","[0, 0, 0]","[59, 79, 1]","[12, 16, 1]","[75, 133, 3]","[0, 5, 1]",34.71698113207547
233,KM Jadhav,"[583, 548, 14]","[171, 160, 5]","[93, 107, 3]","[0, 0, 0]","[176, 204, 3]","[173, 203, 4]","[90, 86, 1]","[0, 0, 0]",51.47744945567651
234,KMC Bandara,"[0, 0, 0]","[0, 0, 0]","[1, 3, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
